,Name,Album,Artist,Path
0,Fearless Pt. II,NCS: The Best of 2017,Various Artists,../songs/fearful/0.mp3
1,Fearless,Fearless,Lost Sky,../songs/fearful/1.mp3
2,Ark,Ark,Star Party,../songs/fearful/2.mp3
3,Supersonic,Supersonic,Rob Gasser,../songs/fearful/3.mp3
4,Fearless Pt. II,NCS: The Best of 2017,Various Artists,../songs/fearful/4.mp3
5,Mortals,Mortals,Warriyo,../songs/fearful/5.mp3
6,Horizon,Dying Light (Original Game Soundtrack),Pawel Blaszczak,../songs/fearful/6.mp3
7,Fearless,Fearless,Lost Sky,../songs/fearful/7.mp3
8,Ark,Ark,Star Party,../songs/fearful/8.mp3
9,Ark,Ark,Star Party,../songs/fearful/9.mp3
10,Mortals,Mortals,Warriyo,../songs/fearful/10.mp3
11,Horizon,Dying Light (Original Game Soundtrack),Pawel Blaszczak,
12,Supersonic,Supersonic,Rob Gasser,
13,Feel Good,Feel Good,Syn Cole,
14,Fearless Pt. II,NCS: The Best of 2017,Various Artists,
15,Horizon,Dying Light (Original Game Soundtrack),Pawel Blaszczak,
16,Mortals,Mortals,Warriyo,
17,Fearless,Fearless,Lost Sky,
18,Blank,Blank,Disfigure,
19,Symbolism,Symbolism,Electro-Light,
20,Symbolism,Symbolism,Electro-Light,
21,Blank,Blank,Disfigure,
22,On & On,On & On,Cartoon,
23,On & On,On & On,Cartoon,
24,Invincible,Invincible,Deaf Kev,
25,Invincible,Invincible,Deaf Kev,
26,Sky High,Sky High,Elektronomia,
27,Nekozilla,NCS: Infinity,Various Artists,
28,Firefly,Firefly,Jim Yosef,
29,Hope (Original Mix),Hope,Tobu,
